               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040238,            0.060032,            0.015613,              0.7057,             0.56189,             0.61651,             0.42723,            0.038976,            0.046293,            0.013712,          0.00088345,          0.00088345,          0.00088345
                  37,            0.040125,            0.059867,            0.015636,             0.69625,             0.56759,             0.61696,             0.42759,            0.038973,            0.046292,            0.013701,          0.00088012,          0.00088012,          0.00088012
                  38,            0.040199,            0.060043,            0.015643,             0.69846,             0.56569,             0.61791,             0.42789,            0.038993,            0.046288,            0.013718,          0.00087679,          0.00087679,          0.00087679
                  39,            0.040137,            0.059954,            0.015657,             0.69754,             0.56765,             0.61692,              0.4276,            0.039002,            0.046282,            0.013712,          0.00087346,          0.00087346,          0.00087346
                  40,            0.040148,            0.060014,            0.015574,             0.70005,              0.5668,             0.61722,             0.42729,            0.038996,            0.046299,            0.013699,          0.00087013,          0.00087013,          0.00087013
                  41,             0.04009,            0.059791,              0.0156,             0.69848,             0.56885,             0.61798,             0.42735,            0.039006,            0.046308,            0.013684,           0.0008668,           0.0008668,           0.0008668
                  42,            0.040165,            0.060037,            0.015559,             0.70106,             0.56726,              0.6178,             0.42711,            0.039019,            0.046335,            0.013695,          0.00086347,          0.00086347,          0.00086347
                  43,             0.04009,            0.060017,            0.015545,             0.69988,             0.56775,             0.61759,             0.42711,            0.039036,            0.046353,            0.013703,          0.00086014,          0.00086014,          0.00086014
                  44,            0.040115,            0.059787,            0.015578,             0.70159,             0.56543,             0.61691,             0.42725,             0.03903,            0.046368,            0.013719,          0.00085681,          0.00085681,          0.00085681
                  45,            0.039999,            0.059662,             0.01552,             0.69948,             0.56643,             0.61753,             0.42703,            0.039024,            0.046372,            0.013731,          0.00085348,          0.00085348,          0.00085348
                  46,            0.040097,            0.060029,            0.015447,             0.70565,             0.56379,             0.61822,             0.42709,            0.039019,            0.046358,            0.013746,          0.00085015,          0.00085015,          0.00085015
                  47,            0.040049,            0.060023,            0.015461,             0.70272,             0.56656,             0.61924,             0.42777,            0.039019,            0.046355,            0.013746,          0.00084682,          0.00084682,          0.00084682
                  48,            0.040072,            0.059701,            0.015447,             0.71091,             0.56047,             0.61905,             0.42803,            0.039008,            0.046351,            0.013731,          0.00084349,          0.00084349,          0.00084349
                  49,             0.03998,            0.059694,            0.015424,             0.71382,             0.55932,             0.61976,             0.42845,            0.038999,            0.046362,            0.013739,          0.00084016,          0.00084016,          0.00084016
                  50,            0.039957,            0.059646,            0.015443,             0.70961,             0.56303,             0.61971,             0.42863,            0.038992,            0.046364,            0.013746,          0.00083683,          0.00083683,          0.00083683
                  51,             0.04006,            0.059743,            0.015427,               0.706,             0.56444,             0.61952,               0.429,             0.03899,             0.04637,            0.013761,           0.0008335,           0.0008335,           0.0008335
                  52,            0.040019,              0.0599,            0.015425,             0.71585,             0.56004,             0.61942,             0.42867,            0.038984,            0.046365,            0.013755,          0.00083017,          0.00083017,          0.00083017
                  53,            0.040011,            0.059904,            0.015416,             0.71709,             0.56048,             0.62009,             0.42916,             0.03899,            0.046351,             0.01376,          0.00082684,          0.00082684,          0.00082684
                  54,            0.039892,             0.05959,            0.015383,             0.70731,             0.56609,              0.6207,             0.42942,            0.038993,            0.046334,            0.013754,          0.00082351,          0.00082351,          0.00082351
                  55,            0.039965,            0.059756,            0.015335,             0.70235,              0.5679,              0.6201,             0.42879,            0.038991,            0.046344,            0.013749,          0.00082018,          0.00082018,          0.00082018
                  56,            0.039936,            0.059558,            0.015286,             0.70577,             0.56733,             0.61984,             0.42835,            0.038986,            0.046342,            0.013761,          0.00081685,          0.00081685,          0.00081685
                  57,            0.039902,            0.059655,            0.015358,             0.70579,             0.56636,             0.61959,             0.42836,            0.038977,            0.046339,            0.013778,          0.00081352,          0.00081352,          0.00081352
                  58,            0.039944,            0.059421,            0.015321,             0.70612,             0.56761,             0.61928,             0.42846,            0.038985,             0.04635,            0.013781,          0.00081019,          0.00081019,          0.00081019
