               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037993,            0.057198,            0.013628,             0.70558,             0.56662,              0.6171,             0.43032,            0.038669,            0.046527,            0.013819,           0.0003007,           0.0003007,           0.0003007
                  37,            0.037897,             0.05698,            0.013557,             0.70854,             0.56488,              0.6168,             0.43045,            0.038674,            0.046548,            0.013846,          0.00028072,          0.00028072,          0.00028072
                  38,            0.037832,            0.056975,            0.013494,             0.70838,             0.56388,             0.61656,             0.43012,            0.038691,            0.046587,            0.013879,          0.00026074,          0.00026074,          0.00026074
                  39,            0.037791,             0.05679,             0.01337,             0.70912,             0.56265,             0.61596,             0.42987,            0.038712,            0.046611,            0.013895,          0.00024076,          0.00024076,          0.00024076
                  40,            0.037699,            0.056677,            0.013278,             0.71674,             0.55931,             0.61594,             0.42997,            0.038729,             0.04664,            0.013919,          0.00022078,          0.00022078,          0.00022078
                  41,            0.037671,            0.056717,             0.01326,             0.71791,             0.55826,             0.61586,             0.42991,            0.038741,            0.046676,            0.013941,           0.0002008,           0.0002008,           0.0002008
                  42,            0.037582,            0.056455,            0.013207,             0.72085,             0.55814,             0.61603,             0.42988,            0.038748,            0.046707,            0.013959,          0.00018082,          0.00018082,          0.00018082
                  43,            0.037503,            0.056204,            0.013109,             0.71844,             0.55766,              0.6156,             0.42974,            0.038764,            0.046741,            0.013978,          0.00016084,          0.00016084,          0.00016084
                  44,            0.037434,            0.056087,            0.013087,             0.71286,             0.55973,             0.61516,             0.42962,             0.03878,             0.04679,            0.014002,          0.00014086,          0.00014086,          0.00014086
                  45,            0.037453,            0.056338,            0.013004,             0.71062,             0.56037,             0.61456,              0.4293,            0.038789,            0.046832,             0.01402,          0.00012088,          0.00012088,          0.00012088
                  46,            0.037379,            0.056174,            0.012937,             0.71467,              0.5588,             0.61394,             0.42881,            0.038801,            0.046868,            0.014045,           0.0001009,           0.0001009,           0.0001009
                  47,            0.037315,            0.055984,            0.012852,             0.71078,              0.5621,             0.61386,             0.42856,            0.038819,            0.046905,            0.014069,           8.092e-05,           8.092e-05,           8.092e-05
                  48,            0.037265,            0.055849,            0.012816,             0.70694,              0.5631,             0.61284,              0.4279,            0.038837,            0.046934,            0.014086,           6.094e-05,           6.094e-05,           6.094e-05
                  49,            0.037184,            0.056035,            0.012798,             0.70488,             0.56397,             0.61273,             0.42771,            0.038849,            0.046964,            0.014101,           4.096e-05,           4.096e-05,           4.096e-05
                  49,            0.037184,            0.056035,            0.012798,             0.70137,             0.56323,             0.61577,              0.4322,            0.038572,            0.046401,            0.013654,           4.096e-05,           4.096e-05,           4.096e-05
