Risk Level,Category,Ticker,Name,Region,Percentage,Expense Ratio,Yield,PE Ratio,Morningstar,1Y,2Y,5Y,10Y,Composition,Note
4,Technology,AIQ,Global X Artificial Intelligence & Technology ETF,World,,0.68,0.00,36.12,****,29.16,68.82,88.21,234.62,"92 holdings: AMD,Samsung,GOOGL,BABA,TSLA, AVGO,PLTR,AAPL,TSM,NVDA",
4,Technology,ROBT,First Trust Nasdaq Artificial Intelligence and Robotics ETF,World,2%,0.65,0.21,35.27,**,27.89,74.56,121.94,290.21,"123 holdings: SYM,AVAV,PRO,PATH,BBAI, SOUN,IBM,PLTR,RXRX,SERV",
4,Technology,CHAT,Roundhill Generative Ai & Technology ETF,World,,0.75,0.00,34.50,-,51.14,102.83,133.87,-,"47 holdings: NVDA,GOOGL,Hynix,AMD,ORCL, MSFT,Softbank,AVGO,ARM,META",
4,Aerospace & Defense,SHLD,Global X Defense Tech ETF,World,2%,0.50,,30.42,****,58.70,131.46,151.08,-,"PLTR,RTX,LMT,RHM:DE,BA_:GB,GD,LDOS,NOC,LHX,LDO:IT",World; PLTR Exposure
4,Aerospace & Defense,ITA,iShares US Aerospace & Defense ETF,US,2%,0.38,,30.42,****,31.84,74.11,112.32,241.98,"GE,RTX,BA,HWM,GD,LMT,LHX,TDG,NOC,LHX,AXON",US; low tech exposure
4,Semiconductor,SMH,Vaneck Semiconductor,World,1%,0.35,0.28,39.27,*****,45.49,117.18,221.14,1140.42,"26 holdings: NVDA,TSM,AVGO,AMD,MU",
4,Semiconductor,SOXQ,Invesco PHLX Semiconductor,US,1%,0.19,0.43,,*****,,,,,,"31 holdings: NVDA,AMD,AVGO,MU,INTC"
4,Semiconductor,FSELX,Fidelity Select Semiconductors Portfolio,World,,0.62,,,*****,30.01,87.63,166.31,465.66,"57 holdings: NVDA,AVGO,MRVL,MU,NXP,LRCX,MPWP,ON,TSM",
4,Quantum,QTUM,Defiance Quantum ETF,US,2%,0.40,0.79,29.58,*****,53.88,114.96,165.66,342.73,"81 holdings: RGTI,QBTS,AMD,TER,Tower,INTC,MU,IONQ,LRCX,MDB",
4,International,IDMO,Invesco S&P Intl Developed Momentum ETF,International,2%,0.25,2.35,16.81,*****,28.48,53.72,69.91,123.07,"192 holdings: RR:GB,HSBA:GB,SHOP:CA,SAN:ES,RHM:DE,Allianz:SE,CBA:AU,Siemens,BATS:GB,UCG:IT",
4,International,VXUS,Vanguard Total International Stock ETF,International,,0.08,3.03,,****,,,,,"6892 holdings",
4,International,VEA,Vanguard FTSE Developed Markets ETF,International,,0.05,3.12,,****,,,,,"3983 holdings",
4,International,SPDW,SPDR Portfolio Developed World ex-US ETF,International,,0.04,2.99,,****,,,,,"2500 holdings",
4,International,IXUS,iShares Core MSCI Total International Stock ETF,International,,0.08,3.03,,****,,,,,"6892 holdings",
5,Digital Asset,STCE,Schwab Crypto Thematic ETF,World,3%,0.30,0.00,17.84,***,42.02,212.36,196.71,,"43 holdings: CIFR,IREN,Bitfarms,HIVE:CA,BTDR,GLXY,HUT,CLSK,CAN,BTBT",
5,Digital Asset,IBLC,Amplify Transformational Data Sharing ETF,World,,0.60,0.00,19.12,****,37.28,181.56,170.11,,"55 holdings: GBTC,BTBT,CIFR,HIVE:CA,RIOT,MARA,BTDR,CLSK,GLXY,HUT",
5,Digital Asset,FDIG,Fidelity Crypto Industry and Digital Payments ETF,World,,0.45,0.00,18.76,****,36.45,170.22,158.34,,"48 holdings: GBTC,BTBT,CIFR,HIVE:CA,RIOT,MARA,BTDR,CLSK,GLXY,HUT",
5,Bitcoin,IBIT,iShares Bitcoin Trust ETF,Bitcoin,2%,0.25,-,-,-,-6.63,93.58,106.45,-,Bitcoin,Bitcoin exposure via trust structure
5,Bitcoin,FBTC,Fidelity Bitcoin ETF,Bitcoin,,0.25,-,-,-,-6.87,93.44,106.21,-,Bitcoin,Fidelity
5,Gold,GLDM,SPDR Gold MiniShares Trust,Gold,,0.10,,,,,,,,,
